Fecha,Hora,Meas1,Meas2
2024-09-29,22:30:49,0.0,0.0
2024-09-29,22:30:49,0.0,0.0
2024-09-29,22:30:50,0.0,0.0
2024-09-29,22:30:50,0.0,0.0
2024-09-29,22:30:50,0.0,0.0
2024-09-29,22:30:50,0.0,0.0
2024-09-29,22:30:51,0.0,0.0
2024-09-29,22:30:51,0.0,0.0
2024-09-29,22:30:51,0.0,0.0
2024-09-29,22:30:51,0.0,0.0
2024-09-29,22:30:51,0.0,0.0
2024-09-29,22:30:52,0.0,0.0
2024-09-29,22:30:52,0.0,0.0
2024-09-29,22:30:52,0.0,0.05
2024-09-29,22:30:52,0.0,0.0
2024-09-29,22:30:52,0.0,0.0
2024-09-29,22:30:53,0.0,0.0
2024-09-29,22:30:53,0.0,0.0
2024-09-29,22:30:53,0.0,0.0
2024-09-29,22:30:53,0.0,0.0
2024-09-29,22:30:53,0.0,0.0
2024-09-29,22:30:54,0.0,0.0
2024-09-29,22:30:54,0.0,5.0
2024-09-29,22:30:54,0.0,5.0
2024-09-29,22:30:54,0.0,0.0
2024-09-29,22:30:55,0.0,0.0
2024-09-29,22:30:55,0.0,0.0
2024-09-29,22:30:55,0.0,5.0
2024-09-29,22:30:55,0.0,5.0
2024-09-29,22:30:55,0.0,5.0
2024-09-29,22:30:56,0.0,0.0
2024-09-29,22:30:56,0.0,0.0
2024-09-29,22:30:56,0.0,0.0
2024-09-29,22:30:56,0.0,0.0
2024-09-29,22:31:00,0.0,0.0
2024-09-29,22:31:00,0.0,0.0
2024-09-29,22:31:01,0.0,0.0
2024-09-29,22:31:01,0.0,0.0
2024-09-29,22:31:01,0.0,0.0
2024-09-29,22:31:01,0.0,0.0
2024-09-29,22:31:01,0.0,0.0
2024-09-29,22:31:02,0.0,0.0
2024-09-29,22:31:02,0.0,0.0
2024-09-29,22:31:02,0.0,0.0
2024-09-29,22:31:02,0.0,0.0
2024-09-29,22:31:02,0.0,0.0
2024-09-29,22:31:03,0.0,0.0
2024-09-29,22:31:03,0.0,0.0
2024-09-29,22:31:03,0.0,0.0
2024-09-29,22:31:03,0.0,0.0
2024-09-29,22:31:04,0.0,0.0
2024-09-29,22:31:04,0.0,0.0
2024-09-29,22:31:04,0.0,0.0
2024-09-29,22:31:04,0.0,0.0
2024-09-29,22:31:04,0.0,0.0
2024-09-29,22:31:05,0.0,0.0
2024-09-29,22:31:05,0.0,0.0
2024-09-29,22:31:05,0.0,0.0
2024-09-29,22:31:05,0.0,0.0
2024-09-29,22:31:05,0.0,0.0
2024-09-29,22:31:06,0.0,5.0
2024-09-29,22:31:06,0.0,0.0
2024-09-29,22:31:06,0.0,0.0
2024-09-29,22:31:06,0.0,0.0
2024-09-29,22:31:06,0.0,5.0
2024-09-29,22:31:07,0.0,5.0
2024-09-29,22:31:07,0.0,5.0
2024-09-29,22:31:07,0.0,0.0
2024-09-29,22:32:43,0.0,0.0
2024-09-29,22:32:43,0.0,0.0
2024-09-29,22:32:44,0.0,0.0
2024-09-29,22:32:44,0.0,0.0
2024-09-29,22:32:44,0.0,0.0
2024-09-29,22:32:44,0.0,0.0
2024-09-29,22:32:44,0.0,0.0
2024-09-29,22:32:45,0.0,0.0
2024-09-29,22:32:45,0.0,0.0
2024-09-29,22:32:45,0.0,0.0
2024-09-29,22:32:45,0.0,0.0
2024-09-29,22:32:46,0.0,0.0
2024-09-29,22:32:46,0.0,0.0
2024-09-29,22:32:46,0.0,0.0
2024-09-29,22:32:46,0.0,0.0
2024-09-29,22:32:46,0.0,0.0
2024-09-29,22:32:47,0.0,0.0
2024-09-29,22:32:47,0.0,0.0
2024-09-29,22:32:47,0.0,0.0
2024-09-29,22:32:47,0.0,0.0
2024-09-29,22:32:47,0.0,0.0
2024-09-29,22:32:48,0.0,0.0
2024-09-29,22:32:48,0.0,0.0
2024-09-29,22:32:48,0.0,0.0
2024-09-29,22:32:48,0.0,0.0
2024-09-29,22:32:48,0.0,0.0
2024-09-29,22:32:49,0.0,0.0
2024-09-29,22:32:49,0.0,0.0
2024-09-29,22:32:49,0.0,0.0
2024-09-29,22:32:49,0.0,0.0
2024-09-29,22:32:49,0.0,0.0
2024-09-29,22:32:50,0.0,0.0
2024-09-29,22:32:50,0.0,0.0
2024-09-29,22:32:50,0.0,0.0
2024-09-29,22:32:54,0.0,0.0
2024-09-29,22:32:54,0.0,0.0
2024-09-29,22:32:55,0.0,0.0
2024-09-29,22:32:55,0.0,0.0
2024-09-29,22:32:55,0.0,0.0
2024-09-29,22:32:55,0.0,0.0
2024-09-29,22:32:55,0.0,0.0
2024-09-29,22:32:56,0.0,0.0
2024-09-29,22:32:56,0.0,0.0
2024-09-29,22:32:56,0.0,0.0
2024-09-29,22:32:56,0.0,0.0
2024-09-29,22:32:56,0.0,0.0
2024-09-29,22:32:57,0.0,0.0
2024-09-29,22:32:57,0.0,0.0
2024-09-29,22:32:57,0.0,0.0
2024-09-29,22:32:57,0.0,0.0
2024-09-29,22:32:57,0.0,0.0
2024-09-29,22:32:58,0.0,0.0
2024-09-29,22:32:58,0.0,0.0
2024-09-29,22:32:58,0.0,0.0
